id,name,characters,fontFamily,fontSize,positionX,positionY,width,height
144:2335,Broadcast,Broadcast,Inter,10,-161,8555,49,12
144:2336,13 days until your directory confirmation expires.,13 days until your directory confirmation expires.,Inter,14,-420,8572,322,22
144:2342,9 hours ago,9 hours ago,Inter,12,-420,8623,68,15
144:2344,New Feature,New Feature,Inter,14,-420,8638,86,22
144:2346,Broadcast,Broadcast,Inter,10,-306,8643,49,12
144:2347,Introducing bulk updates for directory data! Learn how to update multiple locations at once.,Introducing bulk updates for directory data! Learn how to update multiple locations at once.,Inter,14,-420,8660,501,44
144:2353,Yesterday,Yesterday,Inter,12,-420,8733,57,15
144:2357,Surrogate Request,Surrogate Request,Inter,14,-420,8748,129,22
144:2359,Surrogate,Surrogate,Inter,10,-263,8753,48,12
144:2360,Stacy Stars has submitted updates to your practice locations. Please verify and approve.,Stacy Stars has submitted updates to your practice locations. Please verify and approve.,Inter,14,-420,8770,490,44
144:2362,Review,Review,Inter,12,-396,8831.5,42,15
144:2368,March 19 at 2:45 PM,March 19 at 2:45 PM,Inter,12,-420,8881,118,15
144:2370,Attestation Required,Attestation Required,Inter,14,-420,8896,142,22
144:2372,Broadcast,Broadcast,Inter,10,-250,8901,49,12
144:2373,You have made changes to your profile since your last attestation. You must attest for Parti...,You have made changes to your profile since your last attestation. You must attest for Parti...,Inter,14,-420,8918,501,44
144:2379,March 15 at 2:45 PM,March 15 at 2:45 PM,Inter,12,-420,8991,117,15
144:2381,Review Required,Review Required,Inter,14,-420,9006,115,22
144:2383,Broadcast,Broadcast,Inter,10,-277,9011,49,12
144:2384,6 Credentialing fields flagged for review.,6 Credentialing fields flagged for review.,Inter,14,-420,9028,428,22
144:2388,All Communications,All Communications,Inter,12,141.046875,8377.005859375,112,15
I144:2764;2919:262711,Tutorial Mode,Dark Mode,Inter,12,-1073,10199,63,15
I144:2764;2919:262714,Get to know our features,Get to know our features,Inter,14,-982,10200,167,17
I144:2764;2919:262715,Select,Select ,Inter,14,-982,10177,44,17
I144:2764;2919:262716,icon to,icon to ,Inter,14,-895,10177,46,17
144:2767,To-Do Status,To-Do Status,Inter,12,-1082.5,10293,82,15
144:2769,100%,100%,Inter,16,-1063,10251,43,19
I144:2802;1231:59477,Search,Search ,Inter,18,-438.5555419921875,9361,60,22
144:2804,Help,Help,Inter,16,206,9360.5,36,19
144:2806,KP,KP,Inter,16,282.5,9360.5,21,19
144:2808,CAQH ID: 1726389,CAQH ID: 1726389,Inter,14,-946,9457,445,17
144:2809,"Welcome Back, Kendra Patel","Welcome Back,
Kendra Patel ",Inter,36,-946,9485,445,88
144:2810,Credentialing Application,Credentialing Application,Inter,18,-461,9454,225,22
144:2811,Progress: 88%,Progress: 88%,Inter,14,-461,9492,97,17
144:2812,Last Attested 12/21/24,Last Attested 12/21/24,Inter,14,-259,9492,150,17
144:2816,View Summary,View Summary,Inter,14,-485,9548,139,22
144:2818,Continue,Continue,Inter,14,-199,9550.5,62,17
144:2819,Directory Information,Directory Information,Inter,18,-46,9454,189,22
144:2820,Progress: 0%,Progress: 0%,Inter,14,-46,9492,88,17
144:2821,Last Confirmed --/--/--,Last Confirmed --/--/--,Inter,14,152,9492,154,17
144:2825,View Summary,View Summary,Inter,14,-73,9548,141,22
144:2827,Begin,Begin,Inter,14,239,9550.5,39,17
144:2828,To Do (29),To Do (29) ,Inter,24,-946,9632,120,31.56109619140625
144:2829,View All,View All,Inter,14,-598,9636.892578125,84,21
144:2830,Estimated completion time 1hr 15 min,Estimated completion time 1hr 15 min,Inter,14,-946,9668.560546875,425,18.501331329345703
144:2831,Item,Item,Inter,14,-946,9716,307,19
144:2832,Status,Status,Inter,14,-634,9716,45,17
144:2835,12,12,Inter,16,-937,9776.5,18,19
144:2836,Missing Required Fields,Missing Required Fields,Inter,16,-894,9776.5,237,19
144:2838,Not Done,Not Done,Inter,12,-629,9778.5,54,15
144:2841,1,1,Inter,16,-932,9840.5,8,19
144:2842,Missing Required Documents,Missing Required Documents,Inter,16,-894,9840.5,237,19
144:2844,Not Done,Not Done,Inter,12,-629,9842.5,54,15
144:2847,6,6,Inter,16,-933.5,9904.5,11,19
144:2848,Resolve Credentialing Flags,Resolve Credentialing Flags,Inter,16,-894,9904.5,237,19
144:2850,Not Done,Not Done,Inter,12,-629,9906.5,54,15
144:2853,4,4,Inter,16,-933.5,9968.5,11,19
144:2854,Resolve Directory Flags,Resolve Directory Flags,Inter,16,-894,9968.5,237,19
144:2856,Not Done,Not Done,Inter,12,-629,9970.5,54,15
144:2859,1,1,Inter,16,-932,10032.5,8,19
144:2860,Begin Directory Data,Begin Directory Data,Inter,16,-894,10032.5,238,19
144:2862,Begin,Begin,Inter,12,-628,10034.5,33,15
144:2865,4,4,Inter,16,-933.5,10096.5,11,19
144:2866,Reconcile Data,Reconcile Data,Inter,16,-894,10096.5,238,19
144:2868,Recommended,Recommended,Inter,12,-628,10098.5,87,15
144:2874,4,4,Inter,16,-933.5,10160.5,11,19
144:2875,Reconcile Data,Reconcile Data,Inter,16,-894,10160.5,238,19
144:2877,Recommended,Recommended,Inter,12,-628,10162.5,87,15
144:2880,State Application,State Application,Inter,18,-946,10215,176,22
144:2881,Download,Download,Inter,14,-611,10217.892578125,115,17
144:2884,Select State,Select State,Inter,14,-946,10250,81,17
144:2887,Select,Select,Inter,12,-934.953125,10284.005859375,36,15
144:2890,Include Supporting Docs,Include Supporting Docs,Inter,14,-723.46875,10283,163,17
144:2891,Communications (56),Communications (56) ,Inter,24,-451,9632,693,32
144:2894,Received,Received,Inter,14,-461,9687,507,17
144:2895,Actions,Actions,Inter,14,158,9687,139,17
144:2901,5 hours ago,5 hours ago,Inter,12,-420,9689,68,15
144:2903,System Maintenance Notice,System Maintenance Notice,Inter,14,-420,9704,193,22
144:2905,Broadcast,Broadcast,Inter,10,-199,9709,49,12
144:2906,CAQH will be undergoing scheduled maintenance on 4/2/2025 at 6:00pm. Access may be temporarily unavailable.,CAQH will be undergoing scheduled maintenance on 4/2/2025 at 6:00pm. Access may be temporarily unavailable.,Inter,14,-420,9726,501,44
144:2960,5 hours ago,5 hours ago,Inter,12,-420,9799,68,15
144:2962,Directory Confirmation Expiration,Directory Confirmation Expiration,Inter,14,-420,9814,231,22
144:2964,Broadcast,Broadcast,Inter,10,-161,9819,49,12
144:2965,13 days until your directory confirmation expires.,13 days until your directory confirmation expires.,Inter,14,-420,9836,322,22
144:2971,9 hours ago,9 hours ago,Inter,12,-420,9887,68,15
144:2973,New Feature,New Feature,Inter,14,-420,9902,86,22
144:2975,Broadcast,Broadcast,Inter,10,-306,9907,49,12
144:2976,Introducing bulk updates for directory data! Learn how to update multiple locations at once.,Introducing bulk updates for directory data! Learn how to update multiple locations at once.,Inter,14,-420,9924,501,44
144:2982,Yesterday,Yesterday,Inter,12,-420,9997,57,15
144:2986,Surrogate Request,Surrogate Request,Inter,14,-420,10012,129,22
144:2988,Surrogate,Surrogate,Inter,10,-263,10017,48,12
144:2989,Stacy Stars has submitted updates to your practice locations. Please verify and approve.,Stacy Stars has submitted updates to your practice locations. Please verify and approve.,Inter,14,-420,10034,490,44
144:2991,Review,Review,Inter,12,-396,10095.5,42,15
144:2997,March 19 at 2:45 PM,March 19 at 2:45 PM,Inter,12,-420,10145,118,15
144:2999,Attestation Required,Attestation Required,Inter,14,-420,10160,142,22
144:3001,Broadcast,Broadcast,Inter,10,-250,10165,49,12
144:3002,You have made changes to your profile since your last attestation. You must attest for Parti...,You have made changes to your profile since your last attestation. You must attest for Parti...,Inter,14,-420,10182,501,44
144:3008,March 15 at 2:45 PM,March 15 at 2:45 PM,Inter,12,-420,10255,117,15
144:3010,Review Required,Review Required,Inter,14,-420,10270,115,22
144:3012,Broadcast,Broadcast,Inter,10,-277,10275,49,12
144:3013,6 Credentialing fields flagged for review.,6 Credentialing fields flagged for review.,Inter,14,-420,10292,428,22
144:3017,All Communications,All Communications,Inter,12,141.046875,9641.005859375,112,15
I144:3399;2919:262711,Tutorial Mode,Dark Mode,Inter,12,-1073,11463,63,15
I144:3399;2919:262714,Get to know our features,Get to know our features,Inter,14,-982,11464,167,17
I144:3399;2919:262715,Select,Select ,Inter,14,-982,11441,44,17
I144:3399;2919:262716,icon to,icon to ,Inter,14,-895,11441,46,17
144:3402,To-Do Status,To-Do Status,Inter,12,-1082.5,11557,82,15
144:3404,100%,100%,Inter,16,-1063,11515,43,19
I144:3437;1231:59477,Search,Search ,Inter,18,-438.5555419921875,10625,60,22
144:3439,Help,Help,Inter,16,206,10624.5,36,19
144:3441,KP,KP,Inter,16,282.5,10624.5,21,19
144:3443,CAQH ID: 1726389,CAQH ID: 1726389,Inter,14,-946,10721,445,17
144:3444,"Welcome Back, Kendra Patel","Welcome Back,
Kendra Patel ",Inter,36,-946,10749,445,88
144:3445,Credentialing Application,Credentialing Application,Inter,18,-461,10718,225,22
144:3446,Progress: 88%,Progress: 88%,Inter,14,-461,10756,97,17
144:3447,Last Attested 12/21/24,Last Attested 12/21/24,Inter,14,-259,10756,150,17
144:3451,View Summary,View Summary,Inter,14,-485,10812,139,22
144:3453,Continue,Continue,Inter,14,-199,10814.5,62,17
144:3454,Directory Information,Directory Information,Inter,18,-46,10718,189,22
144:3455,Progress: 0%,Progress: 0%,Inter,14,-46,10756,88,17
144:3456,Last Confirmed --/--/--,Last Confirmed --/--/--,Inter,14,152,10756,154,17
144:3460,View Summary,View Summary,Inter,14,-73,10812,141,22
144:3462,Begin,Begin,Inter,14,239,10814.5,39,17
144:3463,To Do (29),To Do (29) ,Inter,24,-946,10896,120,31.56109619140625
144:3464,View All,View All,Inter,14,-598,10900.892578125,84,21
144:3465,Estimated completion time 1hr 15 min,Estimated completion time 1hr 15 min,Inter,14,-946,10932.560546875,425,18.501331329345703
144:3466,Item,Item,Inter,14,-946,10980,307,19
144:3467,Status,Status,Inter,14,-634,10980,45,17
144:3470,12,12,Inter,16,-937,11040.5,18,19
144:3471,Missing Required Fields,Missing Required Fields,Inter,16,-894,11040.5,237,19
144:3473,Not Done,Not Done,Inter,12,-629,11042.5,54,15
144:3476,1,1,Inter,16,-932,11104.5,8,19
144:3477,Missing Required Documents,Missing Required Documents,Inter,16,-894,11104.5,237,19
144:3479,Not Done,Not Done,Inter,12,-629,11106.5,54,15
144:3482,6,6,Inter,16,-933.5,11168.5,11,19
144:3483,Resolve Credentialing Flags,Resolve Credentialing Flags,Inter,16,-894,11168.5,237,19
144:3485,Not Done,Not Done,Inter,12,-629,11170.5,54,15
144:3488,4,4,Inter,16,-933.5,11232.5,11,19
144:3489,Resolve Directory Flags,Resolve Directory Flags,Inter,16,-894,11232.5,237,19
144:3491,Not Done,Not Done,Inter,12,-629,11234.5,54,15
144:3494,1,1,Inter,16,-932,11296.5,8,19
144:3495,Begin Directory Data,Begin Directory Data,Inter,16,-894,11296.5,238,19
144:3497,Begin,Begin,Inter,12,-628,11298.5,33,15
144:3500,4,4,Inter,16,-933.5,11360.5,11,19
144:3501,Reconcile Data,Reconcile Data,Inter,16,-894,11360.5,238,19
144:3503,Recommended,Recommended,Inter,12,-628,11362.5,87,15
144:3509,4,4,Inter,16,-933.5,11424.5,11,19
144:3510,Reconcile Data,Reconcile Data,Inter,16,-894,11424.5,238,19
144:3512,Recommended,Recommended,Inter,12,-628,11426.5,87,15
144:3515,State Application,State Application,Inter,18,-946,11479,176,22
144:3516,Download,Download,Inter,14,-611,11481.892578125,115,17
144:3519,Select State,Select State,Inter,14,-946,11514,81,17
144:3522,Select,Select,Inter,12,-934.953125,11548.005859375,36,15
144:3525,Include Supporting Docs,Include Supporting Docs,Inter,14,-723.46875,11547,163,17
144:3526,Communications (56),Communications (56) ,Inter,24,-451,10896,693,32
144:3529,Received,Received,Inter,14,-461,10951,507,17
144:3530,Actions,Actions,Inter,14,158,10951,139,17
144:3536,5 hours ago,5 hours ago,Inter,12,-420,10953,68,15
144:3538,System Maintenance Notice,System Maintenance Notice,Inter,14,-420,10968,193,22
144:3540,Broadcast,Broadcast,Inter,10,-199,10973,49,12
144:3541,CAQH will be undergoing scheduled maintenance on 4/2/2025 at 6:00pm. Access may be temporarily unavailable.,CAQH will be undergoing scheduled maintenance on 4/2/2025 at 6:00pm. Access may be temporarily unavailable.,Inter,14,-420,10990,501,44
144:3595,5 hours ago,5 hours ago,Inter,12,-420,11063,68,15
144:3597,Directory Confirmation Expiration,Directory Confirmation Expiration,Inter,14,-420,11078,231,22
144:3599,Broadcast,Broadcast,Inter,10,-161,11083,49,12
144:3600,13 days until your directory confirmation expires.,13 days until your directory confirmation expires.,Inter,14,-420,11100,322,22
144:3606,9 hours ago,9 hours ago,Inter,12,-420,11151,68,15
144:3608,New Feature,New Feature,Inter,14,-420,11166,86,22
144:3610,Broadcast,Broadcast,Inter,10,-306,11171,49,12
144:3611,Introducing bulk updates for directory data! Learn how to update multiple locations at once.,Introducing bulk updates for directory data! Learn how to update multiple locations at once.,Inter,14,-420,11188,501,44
144:3617,Yesterday,Yesterday,Inter,12,-420,11261,57,15
144:3621,Surrogate Request,Surrogate Request,Inter,14,-420,11276,129,22
144:3623,Surrogate,Surrogate,Inter,10,-263,11281,48,12
144:3624,Stacy Stars has submitted updates to your practice locations. Please verify and approve.,Stacy Stars has submitted updates to your practice locations. Please verify and approve.,Inter,14,-420,11298,490,44
144:3626,Review,Review,Inter,12,-396,11359.5,42,15
144:3632,March 19 at 2:45 PM,March 19 at 2:45 PM,Inter,12,-420,11409,118,15
144:3634,Attestation Required,Attestation Required,Inter,14,-420,11424,142,22
144:3636,Broadcast,Broadcast,Inter,10,-250,11429,49,12
144:3637,You have made changes to your profile since your last attestation. You must attest for Parti...,You have made changes to your profile since your last attestation. You must attest for Parti...,Inter,14,-420,11446,501,44
144:3643,March 15 at 2:45 PM,March 15 at 2:45 PM,Inter,12,-420,11519,117,15
144:3645,Review Required,Review Required,Inter,14,-420,11534,115,22
144:3647,Broadcast,Broadcast,Inter,10,-277,11539,49,12
144:3648,6 Credentialing fields flagged for review.,6 Credentialing fields flagged for review.,Inter,14,-420,11556,428,22
144:3652,All Communications,All Communications,Inter,12,141.046875,10905.005859375,112,15
I144:4031;2919:262711,Tutorial Mode,Dark Mode,Inter,12,-1073,12756,63,15
I144:4031;2919:262714,Get to know our features,Get to know our features,Inter,14,-982,12757,167,17
I144:4031;2919:262715,Select,Select ,Inter,14,-982,12734,44,17
I144:4031;2919:262716,icon to,icon to ,Inter,14,-895,12734,46,17
144:4034,To-Do Status,To-Do Status,Inter,12,-1082.5,12850,82,15
144:4036,100%,100%,Inter,16,-1063,12808,43,19
I144:4069;1231:59477,Search,Search ,Inter,18,-438.5555419921875,11918,60,22
144:4071,Help,Help,Inter,16,206,11917.5,36,19
144:4073,KP,KP,Inter,16,282.5,11917.5,21,19
144:4075,CAQH ID: 1726389,CAQH ID: 1726389,Inter,14,-946,12014,445,17
144:4076,"Welcome Back, Kendra Patel","Welcome Back,
Kendra Patel ",Inter,36,-946,12042,445,88
144:4077,Credentialing Application,Credentialing Application,Inter,18,-461,12011,225,22
144:4078,Progress: 88%,Progress: 88%,Inter,14,-461,12049,97,17
144:4079,Last Attested 12/21/24,Last Attested 12/21/24,Inter,14,-259,12049,150,17
144:4083,View Summary,View Summary,Inter,14,-485,12105,139,22
144:4085,Continue,Continue,Inter,14,-199,12107.5,62,17
144:4086,Directory Information,Directory Information,Inter,18,-46,12011,189,22
144:4087,Progress: 0%,Progress: 0%,Inter,14,-46,12049,88,17
144:4088,Last Confirmed --/--/--,Last Confirmed --/--/--,Inter,14,152,12049,154,17
144:4092,View Summary,View Summary,Inter,14,-73,12105,141,22
144:4094,Begin,Begin,Inter,14,239,12107.5,39,17
144:4095,To Do (29),To Do (29) ,Inter,24,-946,12189,120,31.56109619140625
144:4096,View All,View All,Inter,14,-598,12193.892578125,84,21
144:4097,Estimated completion time 1hr 15 min,Estimated completion time 1hr 15 min,Inter,14,-946,12225.560546875,425,18.501331329345703
144:4098,Item,Item,Inter,14,-946,12273,307,19
144:4099,Status,Status,Inter,14,-634,12273,45,17
144:4102,12,12,Inter,16,-937,12333.5,18,19
144:4103,Missing Required Fields,Missing Required Fields,Inter,16,-894,12333.5,237,19
144:4105,Not Done,Not Done,Inter,12,-629,12335.5,54,15
144:4108,1,1,Inter,16,-932,12397.5,8,19
144:4109,Missing Required Documents,Missing Required Documents,Inter,16,-894,12397.5,237,19
144:4111,Not Done,Not Done,Inter,12,-629,12399.5,54,15
144:4114,6,6,Inter,16,-933.5,12461.5,11,19
144:4115,Resolve Credentialing Flags,Resolve Credentialing Flags,Inter,16,-894,12461.5,237,19
144:4117,Not Done,Not Done,Inter,12,-629,12463.5,54,15
144:4120,4,4,Inter,16,-933.5,12525.5,11,19
144:4121,Resolve Directory Flags,Resolve Directory Flags,Inter,16,-894,12525.5,237,19
144:4123,Not Done,Not Done,Inter,12,-629,12527.5,54,15
144:4126,1,1,Inter,16,-932,12589.5,8,19
144:4127,Begin Directory Data,Begin Directory Data,Inter,16,-894,12589.5,238,19
144:4129,Begin,Begin,Inter,12,-628,12591.5,33,15
144:4132,4,4,Inter,16,-933.5,12653.5,11,19
144:4133,Reconcile Data,Reconcile Data,Inter,16,-894,12653.5,238,19
144:4135,Recommended,Recommended,Inter,12,-628,12655.5,87,15
